OID,ec5_uuid,created_at,uploaded_at,title,1_Name_of_the_data_c,2_Date_of_Data_colle,3_Girth_of_the_tree_,4_Time_of_Data_colle,5_Name_of_the_tree__,Lat,Long,accuracy_6_Please_add_locatio,UTM_Northing_6_Please_add_locatio,UTM_Easting_6_Please_add_locatio,UTM_Zone_6_Please_add_locatio,7_Height_of_the_tree,8_Type_of_tree,9_Type_of_tree,10_Whether_fruiting_,11_Whether_flowering,12_Type_of_Leaves,13_Please_take_a_pho,14_Please_click_the_,15_Health_of_the_tre,16_Whether_bird_nest,17_Canopy_cover,18_Any_other_comment
142,5cdce072-a264-42dc-9073-81997ffef452,2024-11-10T07:18:40.000Z,2024-11-10T07:20:15.000Z,5cdce072-a264-42dc-9073-81997ffef452,Rohit kumbhar,10-11-2024,50,12:46,Bridelia,18.456817,73.854214,16,2041110,379013,43Q,20,Native,Evergreen ,Yes,yes,simple,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=5cdce072-a264-42dc-9073-81997ffef452_1731223075.jpg,,Looks Good ,Yes,Dense,Good
143,684ead33-70a7-44a0-9467-33503772acb4,2024-11-10T07:18:18.000Z,2024-11-10T07:18:23.000Z,684ead33-70a7-44a0-9467-33503772acb4,Trupti Pundekar,10-11-2024,75,12:46,Eucalyptus,18.457063,73.854504,18,2041137,379044,43Q,120,Exotic ,Deciduous ,No,no,compound,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=684ead33-70a7-44a0-9467-33503772acb4_1731223044.jpg,,Looks Good ,no,sparse,Strong
144,adf7fa92-107f-4129-8e3c-a7fee7697273,2024-11-10T07:18:06.000Z,2024-11-10T07:49:03.000Z,adf7fa92-107f-4129-8e3c-a7fee7697273,Sakshika Gupta,10-11-2024,180,12:47,Benth,18.456325,73.855583,4,2041054,379157,43Q,20,Exotic ,Deciduous ,Yes,yes,compound,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=adf7fa92-107f-4129-8e3c-a7fee7697273_1731223073.jpg,,Looks Good ,Yes,Dense,
145,89e2efb8-439a-45a5-a96c-ceca705d0b64,2024-11-10T07:17:41.000Z,2024-11-10T07:30:14.000Z,89e2efb8-439a-45a5-a96c-ceca705d0b64,Lakshita,10-11-2024,70,12:43,Japanese pagoda,18.458561,73.852899,4,2041304,378876,43Q,6,Exotic ,Deciduous ,No,no,compound,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=89e2efb8-439a-45a5-a96c-ceca705d0b64_1731223039.jpg,,Looks Good ,no,moderate,
146,95a8f465-d359-4f07-9302-071fa38f9227,2024-11-10T07:17:33.000Z,2024-11-10T07:21:40.000Z,95a8f465-d359-4f07-9302-071fa38f9227,Archana Kokare,10-11-2024,14,12:46,Papaya,18.458793,73.856551,11,2041327,379261,43Q,6,Native,Evergreen ,Yes,yes,compound,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=95a8f465-d359-4f07-9302-071fa38f9227_1731223041.jpg,,Looks Good ,no,moderate,
147,2bf6704b-5993-466b-9a9b-21cf3a88b487,2024-11-10T07:17:31.000Z,2024-11-10T07:19:28.000Z,2bf6704b-5993-466b-9a9b-21cf3a88b487,Nitin,10-11-2024,70,12:46,Neem,18.456717,73.855977,3,2041097,379199,43Q,25,Native,Evergreen ,No,no,compound,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=2bf6704b-5993-466b-9a9b-21cf3a88b487_1731223032.jpg,,Looks Good ,no,moderate,
148,043f5bef-d9bb-478e-a66a-d75216479e56,2024-11-10T07:17:12.000Z,2024-11-10T07:17:57.000Z,043f5bef-d9bb-478e-a66a-d75216479e56,Yogesh,10-11-2024,60,12:43,Lebbek tree,18.458694,73.85679,3,2041316,379287,43Q,15,Native,Evergreen ,Yes,yes,simple,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=043f5bef-d9bb-478e-a66a-d75216479e56_1731223016.jpg,,Looks Good ,no,moderate,
149,0221266e-b752-41c3-987d-a81476b681b4,2024-11-10T07:17:12.000Z,2024-11-10T07:17:19.000Z,0221266e-b752-41c3-987d-a81476b681b4,Ketki Adkar,10-11-2024,60,12:45,Suru,18.4586,73.852801,6,2041308,378865,43Q,20,Exotic ,Evergreen ,Yes,yes,compound,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=0221266e-b752-41c3-987d-a81476b681b4_1731223018.jpg,,looks dry ,no,sparse,
150,de2f3a7f-e65f-482c-8a9c-cbc840496fdd,2024-11-10T07:17:07.000Z,2024-11-10T07:51:04.000Z,de2f3a7f-e65f-482c-8a9c-cbc840496fdd,Archana Kadam,10-11-2024,20,12:44,White silk cotton tree,18.458823,73.852771,14,2041333,378862,43Q,5,Exotic ,Deciduous ,Yes,yes,compound,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=de2f3a7f-e65f-482c-8a9c-cbc840496fdd_1731222992.jpg,,Looks Good ,no,sparse,
151,1d6ed668-d589-4958-b5f6-cbd7dd2ceec1,2024-11-10T07:16:54.000Z,2024-11-10T07:17:01.000Z,1d6ed668-d589-4958-b5f6-cbd7dd2ceec1,Dattatraya Chaudhari,10-11-2024,190,12:45,Eucalyptus,18.456884,73.854366,6,2041117,379029,43Q,50,Exotic ,Evergreen ,No,no,simple,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=1d6ed668-d589-4958-b5f6-cbd7dd2ceec1_1731222978.jpg,,Looks Good ,no,sparse,
152,13ddf031-236b-4022-9716-5a978442cda0,2024-11-10T07:16:48.000Z,2024-11-10T07:49:01.000Z,13ddf031-236b-4022-9716-5a978442cda0,Gayatri Deshpande,10-11-2024,160,12:45,Eucalyptus,18.456351,73.855461,3,2041057,379145,43Q,18,Exotic ,Deciduous ,Yes,yes,compound,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=13ddf031-236b-4022-9716-5a978442cda0_1731222977.jpg,,Looks Good ,Yes,Dense,Garbage around Tree
153,eb941928-5e26-4d04-a494-c7e1fa30a7c5,2024-11-10T07:16:48.000Z,2024-11-10T07:17:00.000Z,eb941928-5e26-4d04-a494-c7e1fa30a7c5,Sireesha,10-11-2024,35,12:44,Monkeypod,18.458816,73.85667,7,2041329,379274,43Q,10,Exotic ,Deciduous ,Yes,no,compound,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=eb941928-5e26-4d04-a494-c7e1fa30a7c5_1731222931.jpg,,Looks Good ,no,moderate,Trimmed
154,320777ce-5e6e-421b-b73e-efbdcd99781d,2024-11-10T07:16:47.000Z,2024-11-10T08:00:31.000Z,320777ce-5e6e-421b-b73e-efbdcd99781d,Shailesh Kumar,10-11-2024,30,12:45,Eucalyptus,18.456857,73.854302,6,2041114,379023,43Q,15,Exotic ,Evergreen ,No,no,simple,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=320777ce-5e6e-421b-b73e-efbdcd99781d_1731222993.jpg,,Looks Good ,no,sparse,
155,a72030c6-a995-48b0-bc7e-d04fd21adb25,2024-11-10T07:16:22.000Z,2024-11-10T07:19:26.000Z,a72030c6-a995-48b0-bc7e-d04fd21adb25,Nitin,10-11-2024,50,12:45,African tulip,18.456795,73.85593,3,2041106,379194,43Q,30,Exotic ,Evergreen ,No,yes,compound,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=a72030c6-a995-48b0-bc7e-d04fd21adb25_1731222954.jpg,,Looks Good ,no,moderate,
156,b1c86d7a-75f2-421a-abcc-41b6ec2317bc,2024-11-10T07:15:54.000Z,2024-11-10T07:16:02.000Z,b1c86d7a-75f2-421a-abcc-41b6ec2317bc,Souvic,10-11-2024,240,12:41,African tulip,18.456715,73.855805,2,2041097,379181,43Q,10,Exotic ,Deciduous ,No,yes,compound,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=b1c86d7a-75f2-421a-abcc-41b6ec2317bc_1731222927.jpg,,Looks Good ,no,Dense,Nil
157,5d629b73-78f6-4f7a-aa65-8d6c954e9a13,2024-11-10T07:15:48.000Z,2024-11-10T07:20:33.000Z,5d629b73-78f6-4f7a-aa65-8d6c954e9a13,Anoop kumar,10-11-2024,10,12:43,Neem,18.458623,73.856755,2,2041308,379283,43Q,5,Native,Evergreen ,No,no,compound,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=5d629b73-78f6-4f7a-aa65-8d6c954e9a13_1731222932.jpg,,Looks Good ,no,moderate,
158,eafa1a1d-b945-4f6c-a2d8-eed8deaf7059,2024-11-10T07:15:29.000Z,2024-11-10T08:00:29.000Z,eafa1a1d-b945-4f6c-a2d8-eed8deaf7059,Shailesh Kumar,10-11-2024,40,12:44,Eucalyptus,18.456853,73.85436,7,2041114,379029,43Q,15,Exotic ,Evergreen ,No,no,simple,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=eafa1a1d-b945-4f6c-a2d8-eed8deaf7059_1731222917.jpg,,Looks Good ,no,sparse,
159,31fa6fe0-fb51-4c21-8605-e089adf88d99,2024-11-10T07:15:12.000Z,2024-11-10T07:21:38.000Z,31fa6fe0-fb51-4c21-8605-e089adf88d99,Archana Kokare,10-11-2024,22,12:43,Neem,18.458718,73.856444,6,2041319,379250,43Q,12,Native,Evergreen ,Yes,yes,compound,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=31fa6fe0-fb51-4c21-8605-e089adf88d99_1731222880.jpg,,Looks Good ,no,moderate,
160,65792a69-785d-4498-82c5-8fb94c6397f4,2024-11-10T07:15:02.000Z,2024-11-10T07:48:59.000Z,65792a69-785d-4498-82c5-8fb94c6397f4,Sakshika Gupta,10-11-2024,190,12:43,Benth,18.456348,73.855479,5,2041057,379147,43Q,18,Exotic ,Deciduous ,No,yes,compound,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=65792a69-785d-4498-82c5-8fb94c6397f4_1731222872.jpg,,Looks Good ,Yes,Dense,Garbage around Tree
161,a95dd20a-dcde-40fc-b190-9ea8e997e0ef,2024-11-10T07:14:56.000Z,2024-11-10T07:15:10.000Z,a95dd20a-dcde-40fc-b190-9ea8e997e0ef,Rohit kumbhar,10-11-2024,45,12:43,Badam,18.45688,73.854172,4,2041117,379009,43Q,15,Native,Evergreen ,Yes,yes,simple,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=a95dd20a-dcde-40fc-b190-9ea8e997e0ef_1731222875.jpg,,Looks Good ,no,Dense,Very good
162,54bdaf1a-5725-4948-91d8-289bac3b904a,2024-11-10T07:14:53.000Z,2024-11-10T07:19:24.000Z,54bdaf1a-5725-4948-91d8-289bac3b904a,Nitin,10-11-2024,-35,12:43,African tulip,18.456819,73.855899,3,2041109,379191,43Q,30,Exotic ,Evergreen ,No,yes,compound,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=54bdaf1a-5725-4948-91d8-289bac3b904a_1731222882.jpg,,Looks Good ,Yes,moderate,
163,67519407-8279-45c9-9e02-4fd8c65a3b67,2024-11-10T07:13:59.000Z,2024-11-10T07:40:51.000Z,67519407-8279-45c9-9e02-4fd8c65a3b67,Manisha,10-11-2024,20,12:37,East Indian Sandle wood,18.458402,73.852852,4,2041286,378871,43Q,5,Native,Deciduous ,Yes,no,simple,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=67519407-8279-45c9-9e02-4fd8c65a3b67_1731222821.jpg,,Looks Good ,no,moderate,No
164,cdb2310c-e7ef-45a0-afaa-63abd63a7864,2024-11-10T07:13:54.000Z,2024-11-10T07:16:58.000Z,cdb2310c-e7ef-45a0-afaa-63abd63a7864,Sireesha,10-11-2024,30,12:41,American sumac,18.458735,73.856502,8,2041320,379256,43Q,8,Exotic ,Deciduous ,Yes,no,compound,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=cdb2310c-e7ef-45a0-afaa-63abd63a7864_1731222755.jpg,,Looks Good ,no,sparse,Tree is trimmed
165,463ac68d-26f1-47e8-9791-9b3c62e32ac5,2024-11-10T07:13:50.000Z,2024-11-10T07:14:14.000Z,463ac68d-26f1-47e8-9791-9b3c62e32ac5,Ketki Adkar,10-11-2024,65,12:42,Suru,18.458639,73.85279,6,2041312,378864,43Q,20,Exotic ,Evergreen ,Yes,yes,compound,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=463ac68d-26f1-47e8-9791-9b3c62e32ac5_1731222798.jpg,,looks dry ,no,sparse,
166,6aeecc69-c087-4984-a092-037b1c1273cd,2024-11-10T07:13:49.000Z,2024-11-10T07:14:12.000Z,6aeecc69-c087-4984-a092-037b1c1273cd,Shailesh Kumar,10-11-2024,60,12:42,Eucalyptus,18.456858,73.854183,6,2041114,379010,43Q,15,Exotic ,Evergreen ,No,no,simple,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=6aeecc69-c087-4984-a092-037b1c1273cd_1731222809.jpg,,Looks Good ,no,sparse,
167,4e74ffe0-a97d-47d4-a5c1-734f84de762a,2024-11-10T07:13:25.000Z,2024-11-10T07:48:57.000Z,4e74ffe0-a97d-47d4-a5c1-734f84de762a,Sakshika Gupta,10-11-2024,190,12:42,Benth,18.456343,73.855393,5,2041056,379137,43Q,23,Exotic ,Deciduous ,No,yes,compound,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=4e74ffe0-a97d-47d4-a5c1-734f84de762a_1731222774.jpg,,Looks Good ,Yes,Dense,Garbage around Tree
168,84fed6b2-016d-4076-a420-67ca198648b1,2024-11-10T07:13:03.000Z,2024-11-10T07:19:22.000Z,84fed6b2-016d-4076-a420-67ca198648b1,Nitin,10-11-2024,60,12:41,Baheda,18.456862,73.855846,3,2041114,379186,43Q,30,Exotic ,Evergreen ,No,no,compound,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=84fed6b2-016d-4076-a420-67ca198648b1_1731222756.jpg,,Looks Good ,Yes,moderate,
169,eb76286e-e2c4-4961-b81f-eb0219c6587d,2024-11-10T07:12:50.000Z,2024-11-10T07:12:56.000Z,eb76286e-e2c4-4961-b81f-eb0219c6587d,Trupti Pundekar,10-11-2024,60,12:40,Eucalyptus,18.456997,73.854408,23,2041130,379034,43Q,35,Exotic ,Deciduous ,No,no,compound,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=eb76286e-e2c4-4961-b81f-eb0219c6587d_1731222708.jpg,,Looks Good ,no,sparse,Strong
170,9a1e6829-d0d0-4627-a7c9-ed5b1725ef31,2024-11-10T07:12:20.000Z,2024-11-10T07:21:36.000Z,9a1e6829-d0d0-4627-a7c9-ed5b1725ef31,Archana Kokare,10-11-2024,32,12:39,Drumstick/ moringa oleifera,18.458755,73.856198,21,2041323,379224,43Q,14,Native,Evergreen ,Yes,yes,compound,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=9a1e6829-d0d0-4627-a7c9-ed5b1725ef31_1731222727.jpg,,Looks Good ,no,moderate,
171,738bd9a9-e93f-4621-b968-366546a90f16,2024-11-10T07:12:09.000Z,2024-11-10T07:14:10.000Z,738bd9a9-e93f-4621-b968-366546a90f16,Shailesh Kumar,10-11-2024,55,12:40,Eucalyptus,18.456875,73.854182,5,2041116,379010,43Q,10,Exotic ,Evergreen ,No,no,simple,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=738bd9a9-e93f-4621-b968-366546a90f16_1731222717.jpg,,Looks Good ,no,sparse,
172,06542ea4-624c-4b44-aa1c-8fd2ae222818,2024-11-10T07:11:54.000Z,2024-11-10T07:12:01.000Z,06542ea4-624c-4b44-aa1c-8fd2ae222818,Dattatraya Chaudhari,10-11-2024,95,12:40,Eucalyptus,18.456863,73.854034,4,2041115,378994,43Q,90,Exotic ,Evergreen ,Yes,yes,simple,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=06542ea4-624c-4b44-aa1c-8fd2ae222818_1731222678.jpg,,Looks Good ,no,moderate,
173,7066f058-c6bf-4321-8378-913701dce8e7,2024-11-10T07:11:40.000Z,2024-11-10T07:48:55.000Z,7066f058-c6bf-4321-8378-913701dce8e7,Sakshika Gupta,10-11-2024,200,12:40,Benth,18.456382,73.855337,8,2041061,379132,43Q,25,Exotic ,Deciduous ,No,yes,compound,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=7066f058-c6bf-4321-8378-913701dce8e7_1731222685.jpg,,Looks Good ,Yes,Dense,
174,dd85f197-fdf4-4349-85cb-8467af032578,2024-11-10T07:11:36.000Z,2024-11-10T07:51:02.000Z,dd85f197-fdf4-4349-85cb-8467af032578,Archana Kadam,10-11-2024,7,12:32,Manila tamrind,18.45834,73.852795,14,2041279,378864,43Q,6,Exotic ,Evergreen ,Yes,yes,simple,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=dd85f197-fdf4-4349-85cb-8467af032578_1731222646.jpg,,Looks Good ,no,Dense,
175,bc2647c5-d750-4005-968c-cba7e51e7e56,2024-11-10T07:11:35.000Z,2024-11-10T07:12:05.000Z,bc2647c5-d750-4005-968c-cba7e51e7e56,Anoop kumar,10-11-2024,10,12:40,Plumeria Alba,18.458787,73.856348,2,2041326,379240,43Q,3,Exotic ,Evergreen ,No,no,simple,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=bc2647c5-d750-4005-968c-cba7e51e7e56_1731222682.jpg,,Looks Good ,no,moderate,
176,6e61dc31-d89f-4a9f-b0f6-e98c597a576a,2024-11-10T07:10:38.000Z,2024-11-10T07:14:12.000Z,6e61dc31-d89f-4a9f-b0f6-e98c597a576a,Ketki Adkar,10-11-2024,65,12:38,Suru,18.458436,73.852855,6,2041290,378871,43Q,20,Exotic ,Evergreen ,Yes,yes,compound,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=6e61dc31-d89f-4a9f-b0f6-e98c597a576a_1731222615.jpg,,looks dry ,no,sparse,
177,c338091d-c60a-4d45-88b1-ff676ab539f1,2024-11-10T07:10:33.000Z,2024-11-10T07:17:21.000Z,c338091d-c60a-4d45-88b1-ff676ab539f1,Souvic,10-11-2024,300,12:38,African tulip,18.456896,73.855627,3,2041118,379163,43Q,15,Exotic ,Deciduous ,No,yes,compound,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=c338091d-c60a-4d45-88b1-ff676ab539f1_1731222594.jpg,,Looks Good ,no,Dense,Nil
178,b0cb69c8-83f4-41c7-8730-7f18f897d5a2,2024-11-10T07:10:09.000Z,2024-11-10T07:14:08.000Z,b0cb69c8-83f4-41c7-8730-7f18f897d5a2,Shailesh Kumar,10-11-2024,80,12:38,Rain Tree,18.456887,73.854062,5,2041118,378997,43Q,40,Exotic ,Evergreen ,No,no,simple,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=b0cb69c8-83f4-41c7-8730-7f18f897d5a2_1731222550.jpg,,Looks Good ,no,sparse,
179,84b89244-20de-40f3-b0f8-2116674f7af3,2024-11-10T07:10:05.000Z,2024-11-10T07:11:13.000Z,84b89244-20de-40f3-b0f8-2116674f7af3,Nitin,10-11-2024,50,12:38,Benth,18.456927,73.855712,3,2041121,379172,43Q,30,Exotic ,Evergreen ,No,yes,compound,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=84b89244-20de-40f3-b0f8-2116674f7af3_1731222580.jpg,,Looks Good ,no,Dense,
180,65d529b0-9f34-4c54-8e3a-d89a79508d41,2024-11-10T07:09:58.000Z,2024-11-10T07:10:14.000Z,65d529b0-9f34-4c54-8e3a-d89a79508d41,Sireesha,10-11-2024,25,12:37,monkeypod,18.458822,73.856035,10,2041330,379207,43Q,2,Exotic ,Deciduous ,Yes,no,compound,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=65d529b0-9f34-4c54-8e3a-d89a79508d41_1731222575.jpg,,Looks Good ,no,sparse,Tree is trimmed
181,d041e8d5-3505-4bf8-b84e-abd93296f142,2024-11-10T07:09:55.000Z,2024-11-10T07:48:52.000Z,d041e8d5-3505-4bf8-b84e-abd93296f142,Gayatri Deshpande,10-11-2024,50,12:36,Peepal,18.456533,73.855305,4,2041078,379128,43Q,15,Native,Evergreen ,Yes,yes,simple,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=d041e8d5-3505-4bf8-b84e-abd93296f142_1731222512.jpg,,Looks Good ,Yes,moderate,Garbage around the tree
182,17409867-6a0d-422b-9d4d-893609cabaf1,2024-11-10T07:09:53.000Z,2024-11-10T07:12:03.000Z,17409867-6a0d-422b-9d4d-893609cabaf1,Anoop kumar,10-11-2024,60,12:38,Monkey pot,18.458827,73.856179,2,2041331,379222,43Q,5,Exotic ,Evergreen ,No,no,compound,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=17409867-6a0d-422b-9d4d-893609cabaf1_1731222568.jpg,,Looks Good ,no,Dense,Al ways cutting the height
183,fa8a3b20-a842-4bcc-b7e0-77a06b164398,2024-11-10T07:09:38.000Z,2024-11-10T07:33:11.000Z,fa8a3b20-a842-4bcc-b7e0-77a06b164398,Vijay bohra,10-11-2024,50,12:38,Gulmohar,18.457634,73.855334,5,2041199,379132,43Q,15,Exotic ,Evergreen ,Yes,yes,compound,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=fa8a3b20-a842-4bcc-b7e0-77a06b164398_1731222556.jpg,,Looks Good ,no,Dense,Nil
184,e86984a8-dc59-4c37-bf1f-2aecf73ae07a,2024-11-10T07:09:29.000Z,2024-11-10T07:12:14.000Z,e86984a8-dc59-4c37-bf1f-2aecf73ae07a,Rohit kumbhar,10-11-2024,90,12:37,Rain tree,18.456855,73.853931,4,2041114,378983,43Q,30,Exotic ,Evergreen ,No,no,compound,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=e86984a8-dc59-4c37-bf1f-2aecf73ae07a_1731222536.jpg,,Looks Good ,no,sparse,Good
185,2200f938-bff2-4d54-9efd-59a40e1f66dc,2024-11-10T07:09:03.000Z,2024-11-10T16:33:50.000Z,2200f938-bff2-4d54-9efd-59a40e1f66dc,Supriya Dipak Bakal,10-11-2024,22,12:37,Palm tree,18.457683,73.854549,5,2041205,379049,43Q,9,Native,Deciduous ,No,no,compound,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=2200f938-bff2-4d54-9efd-59a40e1f66dc_1731222521.jpg,,Looks Good ,no,sparse,
186,0d0ed88f-6540-4467-84dd-49661dda8b8f,2024-11-10T07:09:01.000Z,2024-11-10T07:21:34.000Z,0d0ed88f-6540-4467-84dd-49661dda8b8f,Archana Kokare,10-11-2024,18,12:37,Banyan,18.458852,73.855898,8,2041334,379193,43Q,14,Native,Evergreen ,Yes,no,simple,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=0d0ed88f-6540-4467-84dd-49661dda8b8f_1731222526.jpg,,Looks Good ,no,moderate,
187,6b50e5fb-1c8c-439f-8ffc-1ec0aa8f3f8a,2024-11-10T07:09:00.000Z,2024-11-10T07:09:06.000Z,6b50e5fb-1c8c-439f-8ffc-1ec0aa8f3f8a,Dattatraya Chaudhari,10-11-2024,160,12:37,Eucalyptus,18.456874,73.854017,4,2041116,378992,43Q,10,Exotic ,Evergreen ,No,no,simple,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=6b50e5fb-1c8c-439f-8ffc-1ec0aa8f3f8a_1731222525.jpg,,Looks Good ,no,sparse,
188,b08bb1a8-6e3e-42eb-a8ad-5c95e3eb70d3,2024-11-10T07:08:43.000Z,2024-11-10T07:08:50.000Z,b08bb1a8-6e3e-42eb-a8ad-5c95e3eb70d3,Trupti Pundekar,10-11-2024,60,12:36,Eculaptus,18.457023,73.853983,19,2041133,378989,43Q,20,Exotic ,Deciduous ,No,no,compound,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=b08bb1a8-6e3e-42eb-a8ad-5c95e3eb70d3_1731222491.jpg,,looks dry ,no,sparse,Not strong
189,3f34c3cf-b06f-4f30-b317-07170a9e330f,2024-11-10T07:08:28.000Z,2024-11-10T07:53:28.000Z,3f34c3cf-b06f-4f30-b317-07170a9e330f,Vaishnavi Malpani,06-11-2000,16,12:37,Palm,18.457667,73.854589,4,2041204,379053,43Q,10,Native,Deciduous ,No,no,compound,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=3f34c3cf-b06f-4f30-b317-07170a9e330f_1731222497.jpg,,looks dry ,no,sparse,
190,ca2fa0ed-144f-4e8e-a8d7-43760f6b2ec8,2024-11-10T07:08:00.000Z,2024-11-10T07:11:11.000Z,ca2fa0ed-144f-4e8e-a8d7-43760f6b2ec8,Nitin,10-11-2024,40,12:35,Australian pine,18.45688,73.855425,4,2041116,379141,43Q,30,Exotic ,Evergreen ,No,no,compound,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=ca2fa0ed-144f-4e8e-a8d7-43760f6b2ec8_1731222456.jpg,,Looks Good ,no,moderate,
191,1fc24e1d-a7d6-422e-b25c-378a0d5659f9,2024-11-10T07:07:49.000Z,2024-11-10T07:12:01.000Z,1fc24e1d-a7d6-422e-b25c-378a0d5659f9,Anoop kumar,10-11-2024,8,12:36,Plumeria,18.458838,73.856032,2,2041332,379207,43Q,3,Exotic ,Deciduous ,No,yes,simple,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=1fc24e1d-a7d6-422e-b25c-378a0d5659f9_1731222448.jpg,,Looks Good ,no,Dense,
192,37b26829-395d-4b8c-b0c9-3e9fcb581279,2024-11-10T07:07:33.000Z,2024-11-10T07:33:09.000Z,37b26829-395d-4b8c-b0c9-3e9fcb581279,Vijay bohra,10-11-2024,15,12:36,Badam,18.457647,73.85525,4,2041201,379123,43Q,12,Native,Deciduous ,Yes,no,simple,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=37b26829-395d-4b8c-b0c9-3e9fcb581279_1731222434.jpg,,Looks Good ,no,Dense,Nil
